Star Rating,Rating Text,Date Added,Review Title
2.0 out of 5 stars,"
  Great vivid colors.  One of my daughter's  favorite pencils
","Reviewed in the United States on October 29, 2018",Five Stars
5.0 out of 5 stars,"
  It’s just pencil.
","Reviewed in the United States on September 20, 2018",Good
5.0 out of 5 stars,"
  i like these so much
","Reviewed in the United States on March 5, 2018",i recommend
5.0 out of 5 stars,"
  Okay quality, the leads break easily.
","Reviewed in the United States on November 17, 2019",Okay for the price
5.0 out of 5 stars,"
  I love these pencils they help me write better. They also help my 12 year old write better as well.
","Reviewed in the United States on April 9, 2020",Handwriting help
5.0 out of 5 stars,"
  Good quality product in pretty colors.  I'm pleased.
","Reviewed in the United States on March 31, 2018",Quality and Color
3.0 out of 5 stars,"
  very smooth!!! lead is strong!!! last a long time!
","Reviewed in the United States on December 28, 2019",Five Stars
5.0 out of 5 stars,"
  Great little lead pencils at a great price. they work great and feel great even when writing alot. i use them everyday and love them
","Reviewed in the United States on January 2, 2018",great lead pencil at a great price
4.8 out of 5 stars,"
  Comfortable to write with
","Reviewed in the United States on December 6, 2019",Comfortable
5.0 out of 5 stars,"
  Very comfortable and works well. Perfect for sketching and shading.
","Reviewed in the United States on June 2, 2017",Good for drawing and writing.
2.0 out of 5 stars,"
  Vast improvement over cheaper competition.
","Reviewed in the United States on November 30, 2019",Five Stars
5.0 out of 5 stars,"
  So far so good!
","Reviewed in the United States on January 19, 2020",Five Stars
5.0 out of 5 stars,"
  I like these pencils, they write well and feel good in my hand! The only problem that drives me crazy is using the eraser makes tons of lead come out but that is to be expected. Colors are bright and fun!
","Reviewed in the United States on February 10, 2018",Nice pencils!
5.0 out of 5 stars,"
  works great
","Reviewed in the United States on July 3, 2018",Five Stars
5.0 out of 5 stars,"
  Great deal as a add-on item.
","Reviewed in the United States on August 5, 2017",Five Stars
4.0 out of 5 stars,"
  Love these pencils!
","Reviewed in the United States on June 6, 2018",Five Stars
5.0 out of 5 stars,"
  Best mechanical pencil ever.
","Reviewed in the United States on July 21, 2018",Five Stars
5.0 out of 5 stars,"
  Exactly as described.
","Reviewed in the United States on May 14, 2018",Five Stars
4.8 out of 5 stars,"
  I LOVE the refillable erasers and led! Super nice quality and feel to them.
","Reviewed in the United States on December 6, 2019","Refillable erasers, led, and cheap price? Perfect mechanical pencils!"
5.0 out of 5 stars,"
  good price
","Reviewed in the United States on June 2, 2017",Five Stars
2.0 out of 5 stars,"
  I like the hand grip. But I could go to target and get a 20 pack for this price.
","Reviewed in the United States on November 8, 2019",Nice hand grip.
5.0 out of 5 stars,"
  Good mechanical pencil for the price!
","Reviewed in the United States on March 29, 2018",Pretty good
5.0 out of 5 stars,"
  love bic
","Reviewed in the United States on May 8, 2020",Five Stars
4.0 out of 5 stars,"
  I've never really had a need for mechanical pencils until going back to college, but wow these are amazing. They have the barrel feel of a pen with really good pigmentation payout for the lead. I've also found the lead doesn't really flake while using it and the erasers are pretty good at taking care of business without the extra bits that annoy me.","Reviewed in the United States on October 14, 2017",Great Pencils!
4.0 out of 5 stars,"The lead is smooth writing with a pen like tip from these guys. No breakage from what I can tell and I really like the colors. The only thing I wish they had was a clear barrel to see how much lead is left. The included extra erasers and lead are a bonus! For the price on Amazon, they have the big box stores beat and I love that Prime literally gets me all the stuff I need tomorrow.
","Reviewed in the United States on March 22, 2018",Great
5.0 out of 5 stars,"
  Great!
","Reviewed in the United States on March 8, 2016",Best pencil for note taking
5.0 out of 5 stars,"
  These are the best pencils for taking notes in class!
","Reviewed in the United States on January 1, 2020",I love school supplies but am pretty particular
5.0 out of 5 stars,"
  As a teacher, I love school supplies but am pretty particular. These are my absolute favorite led pencils for writing in my planner. Smooth writing and sharp.
","Reviewed in the United States on August 29, 2019",Great pencils!
4.8 out of 5 stars,"
  Yay pencils
","Reviewed in the United States on December 6, 2019",Five Stars
5.0 out of 5 stars,"
  The best mechanical pencil!!
","Reviewed in the United States on June 2, 2017",Best Pencil
2.0 out of 5 stars,"
  It is an awesone pencil
","Reviewed in the United States on January 13, 2018",The pencil
5.0 out of 5 stars,"
  work great
","Reviewed in the United States on January 5, 2020",Five Stars
5.0 out of 5 stars,"
  It is one of the best things in the world
","Reviewed in the United States on January 26, 2020",Can I get some for free
3.0 out of 5 stars,"
  Love these pencils. Just wish the kids would quit stealing them from me to use at school.
","Reviewed in the United States on December 12, 2017",Love these!
5.0 out of 5 stars,"
  This version is great. So far I have not encountered any problems with lead breaking. Will continue to buy this version.
","Reviewed in the United States on February 12, 2020",Great pencil
5.0 out of 5 stars,"
  The quality is very good and the price is very cheap
","Reviewed in the United States on February 5, 2019",Good
5.0 out of 5 stars,"
  Hope have more style!
","Reviewed in the United States on July 17, 2018",So so
5.0 out of 5 stars,"
  I love how smoothly they write!! Highly recommend!
","Reviewed in the United States on November 4, 2019",My favorite mechanical pencils ever
4.8 out of 5 stars,"
  Nice writing
","Reviewed in the United States on December 6, 2019",Nice writing
5.0 out of 5 stars,"
  Hermoso ✌️
","Reviewed in the United States on June 2, 2017",Lindos lápices
2.0 out of 5 stars,"
  They do what they're supposed to. The pencil has a slightly wider body than a standard mechanical pencil, providing a comfortable grip. Eraser works beautifully with no smudging. No complaints.
","Reviewed in the United States on May 27, 2020",Nice pencil
5.0 out of 5 stars,"
  Great quality. Some pencils seem flimsy and easy to crack the case. These are strong and built with much thought.
","Reviewed in the United States on April 5, 2020",Great quality. Some pencils seem flimsy and easy to ...
5.0 out of 5 stars,"
  Nice pencils will order again.
","Reviewed in the United States on November 30, 2013",Nice
5.0 out of 5 stars,"
  These are some heavy duty pencils.  They write pretty good also.
","Reviewed in the United States on March 4, 2015",They write pretty good also
5.0 out of 5 stars,"
  Comfortable and easy to use
","Reviewed in the United States on March 18, 2016",Great pencils
4.0 out of 5 stars,"
  lead a bit light. pretty colors and I can leave them everywhere I have puzzle books
","Reviewed in the United States on March 24, 2016",great
5.0 out of 5 stars,"
  I love that these pencils come with refills!
","Reviewed in the United States on December 13, 2019",Refills
5.0 out of 5 stars,"
  great pencils for kids
","Reviewed in the United States on August 14, 2015",great
4.8 out of 5 stars,"
  Just what my granddaughter wanted. Perfect.
","Reviewed in the United States on December 6, 2019",Perfect.
5.0 out of 5 stars,"
  My daughter liked the pencils
","Reviewed in the United States on June 2, 2017",Good pencils
2.0 out of 5 stars,"
  Great pencils!
","Reviewed in the United States on May 27, 2017",Best mechanical pencils
5.0 out of 5 stars,"
  great
","Reviewed in the United States on December 25, 2019",Five Stars
4.0 out of 5 stars,"
  Received as stated
","Reviewed in the United States on December 26, 2016",Five Stars
5.0 out of 5 stars,"
  They feel great to hold and write great!
","Reviewed in the United States on January 30, 2017",Great pencils
5.0 out of 5 stars,"
  good quality for the price
","Reviewed in the United States on October 29, 2016",good quality
5.0 out of 5 stars,"
  Good product for the low price.
","Reviewed in the United States on October 5, 2017",Five Stars
5.0 out of 5 stars,"
  Great grips!
","Reviewed in the United States on January 17, 2020",Five Stars
5.0 out of 5 stars,"
  They write smoothly and I like the interchangeable erasers.
","Reviewed in the United States on June 10, 2016",Four Stars
4.8 out of 5 stars,"
  Love these pencils! Easy to hold and writes smoothly without dragging on the paper. I use them for sketching and the eraser is awesome when needed. I of course love the fun colors :)
","Reviewed in the United States on December 6, 2019",Awesome pencils!
5.0 out of 5 stars,"
  Love these pencils! Thanks!
","Reviewed in the United States on June 2, 2017",Five Stars
2.0 out of 5 stars,"
  I love them! I like to collect mechanical pencils and these are my prized possessions! My mum got them for me.
","Reviewed in the United States on November 27, 2015",I love them! I like to collect mechanical pencils and ...
5.0 out of 5 stars,"
  I liked everything about these pencils
","Reviewed in the United States on June 30, 2017",Love it
5.0 out of 5 stars,"
  package was opened no refills or erasers in the pack. was shipped this way.
","Reviewed in the United States on October 26, 2015",Three Stars
5.0 out of 5 stars,"
  hard to go wrong with a Bic
","Reviewed in the United States on January 17, 2020",Hard to go wrong with a BIC
5.0 out of 5 stars,"
  Great product!
","Reviewed in the United States on September 23, 2015",Five Stars
3.0 out of 5 stars,"
  Love my pencils
","Reviewed in the United States on December 28, 2015",Four Stars
5.0 out of 5 stars,"
  Loved them!
","Reviewed in the United States on February 18, 2016",The best
5.0 out of 5 stars,"
  They write well and have very good erasers.
","Reviewed in the United States on April 2, 2018","Work well, Just what I needed for my office."
4.8 out of 5 stars,"
  Good quality and price
","Reviewed in the United States on December 6, 2019",Five Stars
5.0 out of 5 stars,"
  School work
","Reviewed in the United States on June 2, 2017",To comfort my hands
2.0 out of 5 stars,"
  Good pencils in neat colors
","Reviewed in the United States on August 7, 2015",Good pencils
5.0 out of 5 stars,"
  Great deal!!!!
","Reviewed in the United States on January 11, 2020",Five Stars
5.0 out of 5 stars,"
  well made pencils
","Reviewed in the United States on May 29, 2015",Five Stars
5.0 out of 5 stars,"
  Good!
","Reviewed in the United States on September 3, 2015",Five Stars
5.0 out of 5 stars,"
  Great Pencils! Loving it
","Reviewed in the United States on March 11, 2015",Five Stars
5.0 out of 5 stars,"
  These are my daughters favorite pencils now.
","Reviewed in the United States on August 18, 2015",Five Stars
5.0 out of 5 stars,"
  I LOVE these pencils.
","Reviewed in the United States on November 29, 2017",Five Stars
5.0 out of 5 stars,"
  All
","Reviewed in the United States on June 23, 2015",Quality
4.8 out of 5 stars,"
  Very good product!
","Reviewed in the United States on December 6, 2019",Four Stars
5.0 out of 5 stars,"
  Discovered these a few years ago. I go through a couple of sets of these each year.  Great grip. Reliable.
","Reviewed in the United States on June 2, 2017",Best mechanical pencils for the price
2.0 out of 5 stars,"
  They are great pencils high quality 👍
","Reviewed in the United States on August 9, 2017",Great pencils
4.0 out of 5 stars,"
  loved it
","Reviewed in the United States on May 24, 2013",Five Stars
5.0 out of 5 stars,"
  Worked perfect!
","Reviewed in the United States on January 27, 2018",Five Stars
5.0 out of 5 stars,"
  These pencils are amazing, especially because they come with extra erasers and lead so they last for a long time.
","Reviewed in the United States on July 29, 2014",My favorite pencil
5.0 out of 5 stars,"
  Nice pencils, however I press heavily when writing and the lead breaks easily. I should have purchased 0.9mm instead of  0.7mm.
","Reviewed in the United States on June 28, 2016","Nice pencils, however I press heavily when writing and ..."
5.0 out of 5 stars,"
  Arrived in great condition.
","Reviewed in the United States on June 7, 2013",Five Stars
5.0 out of 5 stars,"
  Great service, great price.
","Reviewed in the United States on February 1, 2016",Five Stars
4.0 out of 5 stars,"
  What was needed.
","Reviewed in the United States on October 30, 2014",Five Stars
4.8 out of 5 stars,"
  Great set of pencils !
","Reviewed in the United States on December 6, 2019",Five Stars
5.0 out of 5 stars,"
  Accurate and as described
","Reviewed in the United States on June 2, 2017",Good buy
2.0 out of 5 stars,"
  These are very smooth writing pencils loved by all my children. They are my youngest child's favorite pencils of all time.
","Reviewed in the United States on November 19, 2014",love
5.0 out of 5 stars,"
  good
","Reviewed in the United States on May 23, 2016",Five Stars
5.0 out of 5 stars,"
  Excellent
","Reviewed in the United States on July 14, 2013",Five Stars
5.0 out of 5 stars,"
  just what we asked for...working perfectly
","Reviewed in the United States on July 6, 2015",Five Stars
5.0 out of 5 stars,"
  They break easily, so I would buy the thicker ones next time.
","Reviewed in the United States on February 7, 2016",Five Stars
5.0 out of 5 stars,"
  Good quality. COmes with a good amount of extra lead too.
","Reviewed in the United States on February 3, 2015",Four Stars
5.0 out of 5 stars,"
  work great!
","Reviewed in the United States on May 10, 2015",Five Stars
5.0 out of 5 stars,"
  These are horrible, the break all the time, the lead does not erase, really cheap
","Reviewed in the United States on December 27, 2015","Cheap product, don't waste your money"
4.8 out of 5 stars,"
  Office deep has the same thing..Amazon still cool tho
","Reviewed in the United States on December 6, 2019",Amazon still cool
5.0 out of 5 stars,"
  Good
","Reviewed in the United States on June 2, 2017",Four Stars
2.0 out of 5 stars,"
  I did not try these pencils because they came with NO EXTRA LEAD! Or erasers! WE HAVE RETURNED THIS ITEM AND WILL NOT ORDER AGAIN.
","Reviewed in the United States on July 3, 2015",did not come as described.
4.0 out of 5 stars,"
  HORRIBLE pencils my daughter came to me the next two days telling me they broke i think you should stick with the regular pencils breaks to easily and the lead is horrible as well... DON'T BUY IT SAVE YOUR MONEY FOR SOMETHING BETTER!!
","Reviewed in the United States on August 21, 2014",HORRIBLE!!!!!!!
4.0 out of 5 stars,"
  We, me and my little one loves these BIC velocity mechanical pencils. These pencils are great. They are so pretty in color. They will brighten your day especially the kids at school early in the morning. They are easy to use, easy to refill lead and eraser. The best part of them is there is no sharpening required so they are always ready to use and the kids don't have to be looking for their sharpener like my little usually is. They write nice and soft, glides. My little one use them to draw. They are comfortable in the hand to hold because of the soft grip around the pencils, it's my little ones favorite thing about them. They erase clean if you write light but not if you write deep. These pencils can be used to take test too just like #2 pencils. They are a great product for a trusted brand like BIC. I and my little one had the opportunity to try this product BIC velocity mechanical pencils for free thanks to BIC.
","Reviewed in the United States on January 2, 2015",Pretty colors and easy to use
2.0 out of 5 stars,"
  I am loving these Bic Velocity Mechanical pencils because they are so cool. They write as dark as any regular #2 pencil and they are even better because you are not getting up and running to sharpen it when the led breaks or gets dull. All you need to do is CLICK. It comes with lots of extra led and erasers too WOW. Now you can't beat that anywhere. I think these are perfect for back to school and to use right at home on you favorite puzzle like Sudoku , my favorite. The pencils feel really good in my hand, like they don't feel too big and uncomfortable and they don't feel too small. They are perfect for a older person too that can't really get up and down too sharpen their pencils, just give them a pack of these. I did receive these as a free product from #bzzagent  for testing but opinions are 100% mine. #BicVelocity #Gotitfree
","Reviewed in the United States on January 14, 2013",Love these
1.0 out of 5 stars,"
  these are the best pencils i have used in my entire life! just one pencil lasts about six months for me. they're super comfortable. the led rarely breaks. these are the absolute best and they're the only pencils i will ever recommend or use for the rest of my life. the only thing that doesn't last are the erasers, but they come with refills. i would use a separate eraser though because when you run out you're not going to be able to hold the led in and what's the point of that? just keep a couple of erasers handy.","Reviewed in the United States on July 26, 2016",best pencils 10/10
4.0 out of 5 stars,"something i've noticed about these pencils is that there may be one or two in the pack that are a little faulty. when you erase something, no matter how little pressure you use, the led gets pushed out of the pencil. it can be annoying to put back in, but you'll have some decent ones that don't do this so it's okay.","Reviewed in the United States on July 26, 2016",Can’t buy eraser refills!
4.0 out of 5 stars,"also, never let anyone borrow them. they're too good to be given to others. if people are going to beg you for pencils, get the cheap bic mechanical pencils and just give them out like candy. but never give out the velocity pencils. i treat mine like my own children. i'm just really passionate about these pencils, and i've never been passionate about pencils before.
","Reviewed in the United States on July 14, 2014",A lot of good aspects to this
5.0 out of 5 stars,"
  The number one problem with this pencil- you cannot buy eraser refills! The pack of pencils comes with a few extra erasers, but once those are gone- you are out of luck, might as well throw the pencils away. I have looked for extra erasers at stores and online; nothing. Also, the eraser has to be removed to refill the lead (instead of the entire top coming off). That means if the eraser has worn all the way down, I have to go hunt down a safety pin or something (to pull the eraser out) in order to put more lead in the pencil. My kids like the grip on the pencils- that is the only positive. If I could buy eraser refills, I would put up with the refilling the lead problem... as it is, I will not buy these pencils again.
","Reviewed in the United States on August 5, 2019",Very Nice Way to Write
4.8 out of 5 stars,"
  Thanks to BIC, I got to try this product for free. I absolutely love these new mechanical pencils. They feel and look like pens. They have a nice rubber grip and write smoothly. I love the colors. I also love that they come with extra lead and extra erasers. I have never seen mechanical pencils with extra erasers. They even have a cap that covers the erasers. My kids love them and use them drawing. I love using them for everyday needs. Definitely recommend these. Definitely a back to school necessity.
","Reviewed in the United States on December 6, 2019",Best mechanical pencils ever!!!
5.0 out of 5 stars,"
  I got these pencils free as a Bzzagent.  The package came with 5 different colors of pencils and a refill lead and eraser pack.  Having the multiple colors was great since I have boys and girls.  The pencils were very nice looking, good quality and nice feel.  They write nice and dark but not too dark, much like a standard #2 pencil.  The only thing we didn't like was the eraser.  It just didn't seem to work well for us at all.  I would still buy these pencils though and just use a different eraser.
","Reviewed in the United States on June 2, 2017",Great pencils
2.0 out of 5 stars,"
  I love these pencils! I gave some to my kids, my husband and I kept some for myself. The kids LOVE the bright colors! My husband writes all day and said he never has trouble with the lead breaking and it lasts. I love the price and how comfortable they are to hold. I would recommend these to everyone! I got to try this product for free, thanks to BIC, to leave an honest review.
","Reviewed in the United States on July 25, 2016",The greatest
5.0 out of 5 stars,"
  ALthough I received these pencils to try out free from @BzzAgent, I totally love them! I usually don't like writing with a pencil but things are different when I use these. The writing is smooth, crisp, and the pencil is easy and comfortable to handle. I also love the fact that if you need to erase, no signs of marks are left behind. I love these pencils!
","Reviewed in the United States on July 28, 2016",They Rock
4.0 out of 5 stars,"
  I received two packages of these pencils in the mail from Bic as part of being a BzzAgent. The moment that I opened the box, both of my kids loudly and emphatically claimed the packages as their own. You can definitely count on the fun colors and extra lead/erasers {included!!} to bring back handwriting for the kids. We are a family that still reads real hardback books, we significantly limit screen time in favor of board games and drawing, and we even enjoy doing homework together. So yes, you could say that we're a bit 'strange' when it comes to enjoying new pens and pencils. But since we do, we'll be purchasing loads of these for school!
","Reviewed in the United States on September 18, 2016",Bring the fun back to handwriting for the kids!
5.0 out of 5 stars,"
  I received the Bic Velocity Mechanical Pencil for being a BzzAgent.  I got them for free and I must say that they write very well.  They are very smooth writing and the lead doesn't snap like most other mechanical pencils.  I'm a very hard writer and every time I write I seem to break the lead so I was very pleased with these pencils.  My son likes them as well and will be using them once school starts.
","Reviewed in the United States on July 28, 2016",They are very smooth writing and the lead doesn't snap like most other mechanical pencils
5.0 out of 5 stars,"
  So the kids and I got these Awesome pencils!!! I received these as a promotional offer.  So far they have drawn like 4 comics. There opinion is.. It doesn't smudge.I don't like lead pencils but these are AWESOME. Its almost like using a regular pencil. I love the colors too. It makes it easy to sort between all four of my kids!! Each kid gets a color and there is no confusion. They really do write darker. I have plans of buying more of these. My kids actually like using them! Plus no hassle og a pencil sharpener!! ‪#‎BICVelocity‬ ‪#‎GotItFree‬
","Reviewed in the United States on July 25, 2016",So the kids and I got these Awesome pencils!
5.0 out of 5 stars,"
  Very good pencils for the price! I received these free from bzzagent and I love them! They come in a variety of cool colors! I also like how they store the lead and extra erasers in one convenient case! The grips are also very comfortable which is important for me because I write kind of hard! I definitely recommend them!
","Reviewed in the United States on July 25, 2016",nice pencils
5.0 out of 5 stars,"
  I got these BIC® Velocity® Mechanical Pencils free for being a BzzAgent and as soon as this bzz package arrived, honestly I haven't seen my kids so excited about pencils. Thank goodness I got 2 packages in the kit for my 2 kids. They both already added the pencils their back-to-school supplies. My daughter loves how they write and the colors of the pencils themselves.
","Reviewed in the United States on July 28, 2016",great pencils great price
5.0 out of 5 stars,"
  I received these free to review and I have to say not only do my kids love them, but they're my new favorite pencils as well. They write super smooth and erase wonderfly!
","Reviewed in the United States on July 25, 2016",Great pencils
4.8 out of 5 stars,"
  Awesome pencils that come with eraser and lead refills. They are comfortable mechanical pencils that write smooth and are great for standardized test and great for back to school . I definitely have them on my back to school list. # bic velocity # got it free
","Reviewed in the United States on December 6, 2019",The best mechanical pencil ever
5.0 out of 5 stars,"
  I use mechanical pencils all the time and this is the best of the best no mater what the price is.
","Reviewed in the United States on June 2, 2017",Bic rules
2.0 out of 5 stars,"
  These are the best lead pencils. My kids LOVE them! The pencil writes so smooth and erases with ease. The smooth grips are great for smaller hands to hold the pencil. I love that extra lead and erasers come with the pack. Can always use extra erasers!! I got to try this product for free thanks to BIC!!
","Reviewed in the United States on July 27, 2016",Awesome lead pencils
5.0 out of 5 stars,"
  I was lucky and received these pencils free from #BIC through #BuzzAgent and got to try them out!  I prefer writing with pencils in certain situations and have come to only use mechanical pencils.  These Bic Velocity Mechanical pencils did not disappoint.  The lead writes smoothly, it erases well, and the bright colors are fun to have lying around my desk.  Love that they come with refillable lead.  Will definitely purchase these again.
","Reviewed in the United States on June 30, 2011",Love the Bic Velocity Mechanical Pencil
5.0 out of 5 stars,"
  I just received my bzz kit containing my pencils and my kids are already fighting over which ones they get to keep!  I told them  I liked them so much i'm not sure I am going to share!
","Reviewed in the United States on July 25, 2016",I told them I liked them so much i'm not sure I am going ...
5.0 out of 5 stars,"
  Great product! I got this product as part of a promotion. Vibrant colors, replaceable lead, And even erasers!","Reviewed in the United States on July 25, 2016",Another great Bic product!
5.0 out of 5 stars,"Leaves little mess behind and lead is strong!
","Reviewed in the United States on July 28, 2016",This is what I was looking for. Thanks.
5.0 out of 5 stars,"
  It is very perfect.
","Reviewed in the United States on July 25, 2016",Yay
